Dia Semana,Data,Atendimento,Demandante,Atuação,Modelo,Sem OS,Com OS,KM Terrestre,KM Aéreo,Preventiva,Corretiva,Instalacao,Treinamento,Viagem,Cidade,UF,Folga Trabalhada,Papelada,Plantao,Cod. IBGE UF,Cod. IBGE Cidade,Ano,Mes,MesNome
Sexta,05/02/2021,Obra Paranaguá + volta (CWB - GRU),Ranan,Trabalhado,FS6000,2,0,140,359,0,0,1,0,1,Paranaguá,PR,0,0,0,41,4118204,2021,2,Fevereiro
Sábado,06/02/2021,Folga,0,Folga,,0,0,0,0,0,0,0,0,0,São Paulo,SP,0,0,0,35,3550308,2021,2,Fevereiro
Domingo,07/02/2021,Folga,0,Folga,,0,0,0,0,0,0,0,0,0,São Paulo,SP,0,0,0,35,3550308,2021,2,Fevereiro
Segunda,08/02/2021,C8647 Fem Santana (Paulinelli) + Escritório,Paulinele,Trabalhado,HT2000GA,1,1,87,0,0,1,0,0,0,São Paulo,SP,0,0,0,35,3550308,2021,2,Fevereiro
Terça,09/02/2021,C8655 FS Itajaí + Ida Paranaguá (GRU - CWB),Ranan,Trabalhado,FS6000,1,1,140,359,0,1,0,0,1,Paranaguá,PR,0,0,0,41,4118204,2021,2,Fevereiro
Quarta,10/02/2021,Obra Paranaguá,Ranan,Trabalhado,FS6000,1,0,10,0,0,0,1,0,1,Paranaguá,PR,0,0,0,41,4118204,2021,2,Fevereiro
Quinta,11/02/2021,Obra Paranaguá,Ranan,Trabalhado,FS6000,1,0,10,0,0,0,1,0,1,Paranaguá,PR,0,0,0,41,4118204,2021,2,Fevereiro
Sexta,12/02/2021,Folga plantão + Obra Paranaguá,Ranan,Trabalhado,FS6000,1,0,10,0,0,0,1,0,1,Paranaguá,PR,1,0,0,41,4118204,2021,2,Fevereiro
Sábado,13/02/2021,Plantão Paraná + Obra Paranaguá,Ranan,Trabalhado,FS6000,2,0,10,0,0,0,1,0,1,Paranaguá,PR,0,0,1,41,4118204,2021,2,Fevereiro
Domingo,14/02/2021,Plantão Paraná + Obra Paranaguá,Ranan,Trabalhado,FS6000,1,0,10,0,0,0,1,0,1,Paranaguá,PR,0,0,1,41,4118204,2021,2,Fevereiro
Segunda,15/02/2021,Carnaval + Obra Paranaguá,Ranan,Trabalhado,FS6000,1,0,10,0,0,0,1,0,1,Paranaguá,PR,1,0,0,41,4118204,2021,2,Fevereiro
Terça,16/02/2021,Carnaval + Obra Paranaguá,Ranan,Trabalhado,FS6000,1,0,10,0,0,0,1,0,1,Paranaguá,PR,1,0,0,41,4118204,2021,2,Fevereiro
Quarta,17/02/2021,Obra Paranaguá,Ranan,Trabalhado,FS6000,1,0,10,0,0,0,1,0,1,Paranaguá,PR,0,0,0,41,4118204,2021,2,Fevereiro
Quinta,18/02/2021,volta (CWB - GRU) + C0025 100100D GRU 170248,Diego,Trabalhado,CX100100D,1,1,140,359,0,1,0,0,1,Paranaguá,PR,0,0,0,41,4118204,2021,2,Fevereiro
Sexta,19/02/2021,,0,Sem atividade,,0,0,0,0,0,0,0,0,0,São Paulo,SP,0,0,0,35,3550308,2021,2,Fevereiro
Sábado,20/02/2021,Folga,0,Folga,,0,0,0,0,0,0,0,0,0,São Paulo,SP,0,0,0,35,3550308,2021,2,Fevereiro
Domingo,21/02/2021,"içamento e instalação Correios VL Leopoldina  (Paulinele) OS's 8, 9, 11, 12 e 13",Paulinele,Trabalhado,CX100100D,0,2,100,0,0,0,2,0,0,São Paulo,SP,0,0,0,35,3550308,2021,2,Fevereiro
Segunda,22/02/2021,"içamento e instalação Correios VL Leopoldina  (Paulinele) OS's 8, 9, 11, 12 e 13",Paulinele,Trabalhado,CX100100D,0,2,100,0,0,0,2,0,0,São Paulo,SP,0,0,0,35,3550308,2021,2,Fevereiro
Terça,23/02/2021,"içamento e instalação Correios VL Leopoldina  (Paulinele) OS's 8, 9, 11, 12 e 13",Paulinele,Trabalhado,CX100100D,0,1,100,0,0,0,1,0,0,São Paulo,SP,0,0,0,35,3550308,2021,2,Fevereiro
Quarta,24/02/2021,Ida Porto Velho (GRU - PVH) + treinamento e instalação Porto Velho - RO,Diego,Trabalhado,CX100100D,1,1,50,2474,0,0,1,1,1,Porto Velho,RO,0,0,0,11,1100205,2021,2,Fevereiro
Quinta,25/02/2021,treinamento e instalação Porto Velho - RO,Diego,Trabalhado,CX100100D,1,0,10,0,0,0,1,1,1,Porto Velho,RO,0,0,0,11,1100205,2021,2,Fevereiro
Sexta,26/02/2021,Folga plantão + treinamento e instalação Porto Velho - RO + Retorno SP (PVH - BSB - GRU),Diego,Trabalhado,CX100100D,2,0,10,2474,0,0,1,1,1,Porto Velho,RO,1,0,0,11,1100205,2021,2,Fevereiro
Sábado,27/02/2021,Plantão Paraná + devolução simulacro fábrica,Diego,Trabalhado,,1,0,120,0,0,0,0,0,0,Carapicuíba,SP,0,0,1,35,3510609,2021,2,Fevereiro
Domingo,28/02/2021,Plantão Paraná + ida Paranaguá (GRU - CWB + ónibus Paranaguá),Ranan,Trabalhado,,1,0,140,359,0,0,0,0,1,Paranaguá,PR,0,0,1,41,4118204,2021,2,Fevereiro
Segunda,01/03/2021,Obra Paranaguá,Ranan,Trabalhado,FS6000,1,0,10,0,0,0,1,0,1,Paranaguá,PR,0,0,0,41,4118204,2021,3,Março
Terça,02/03/2021,Obra Paranaguá,Ranan,Trabalhado,FS6000,1,0,10,0,0,0,1,0,1,Paranaguá,PR,0,0,0,41,4118204,2021,3,Março
Quarta,03/03/2021,Obra Paranaguá,Ranan,Trabalhado,FS6000,1,0,10,0,0,0,1,0,1,Paranaguá,PR,0,0,0,41,4118204,2021,3,Março
Quinta,04/03/2021,Obra Paranaguá,Ranan,Trabalhado,FS6000,1,0,10,0,0,0,1,0,1,Paranaguá,PR,0,0,0,41,4118204,2021,3,Março
Sexta,05/03/2021,Obra Paranaguá,Ranan,Trabalhado,FS6000,1,0,10,0,0,0,1,0,1,Paranaguá,PR,0,0,0,41,4118204,2021,3,Março
Sábado,06/03/2021,Obra Paranaguá,Ranan,Trabalhado,FS6000,1,0,10,0,0,0,1,0,1,Paranaguá,PR,0,0,0,41,4118204,2021,3,Março
Domingo,07/03/2021,FS Itajaí,Ranan,Trabalhado,FS6000,0,1,210,0,0,1,0,0,1,Paranaguá,PR,0,0,0,41,4118204,2021,3,Março
Segunda,08/03/2021,Preventiva FS Itajaí,Ranan,Trabalhado,FS6000,0,1,10,0,1,0,0,0,1,Paranaguá,PR,0,0,0,41,4118204,2021,3,Março
Terça,09/03/2021,ida Itajaí - Paranaguá (carro) + Obra Paranaguá,Ranan,Trabalhado,FS6000,2,0,210,0,0,0,1,0,1,Paranaguá,PR,0,0,0,41,4118204,2021,3,Março
Quarta,10/03/2021,Obra Paranaguá,Ranan,Trabalhado,FS6000,1,0,10,0,0,0,1,0,1,Paranaguá,PR,0,0,0,41,4118204,2021,3,Março
Quinta,11/03/2021,Obra Paranaguá + volta CWB - GRU,Ranan,Trabalhado,FS6000,2,0,140,359,0,0,1,0,1,Paranaguá,PR,0,0,0,41,4118204,2021,3,Março
Sexta,12/03/2021,Folga Plantão,0,Folga Plantão,,0,0,0,0,0,0,0,0,0,São Paulo,SP,0,0,0,35,3550308,2021,3,Março
Sábado,13/03/2021,Preventiva Santos Alemoa FS + Plantão Paraná (Ranan),Ranan,Trabalhado,FS6000,0,1,180,0,1,0,0,0,0,Santos,SP,0,0,1,35,3548500,2021,3,Março
Domingo,14/03/2021,Plantão,Plantão,Trabalhado,,1,0,0,0,0,0,0,0,0,São Paulo,SP,0,0,1,35,3550308,2021,3,Março
Segunda,15/03/2021,ida GRU - NVT + atendimento FS Itajaí (Ranan),Ranan,Trabalhado,FS6000,1,1,140,442,0,1,0,0,1,Itajaí,SC,0,0,0,42,4208203,2021,3,Março
Terça,16/03/2021,corretiva FS Itajaí (Ranan),Ranan,Trabalhado,FS6000,1,0,10,0,0,0,0,0,1,Itajaí,SC,0,0,0,42,4208203,2021,3,Março
Quarta,17/03/2021,acompanhando FS Itajaí (Ranan),Ranan,Trabalhado,FS6000,1,0,10,0,0,0,0,0,1,Itajaí,SC,0,0,0,42,4208203,2021,3,Março
Quinta,18/03/2021,acompanhando FS Itajaí (Ranan),Ranan,Trabalhado,FS6000,1,0,10,0,0,0,0,0,1,Itajaí,SC,0,0,0,42,4208203,2021,3,Março
Sexta,19/03/2021,Retorno NVT - GRU,Ranan,Trabalhado,,1,0,90,442,0,0,0,0,1,Itajaí,SC,0,0,0,42,4208203,2021,3,Março
Sábado,20/03/2021,Folga,0,Folga,,0,0,0,0,0,0,0,0,0,São Paulo,SP,0,0,0,35,3550308,2021,3,Março
Domingo,21/03/2021,Folga,0,Folga,,0,0,0,0,0,0,0,0,0,São Paulo,SP,0,0,0,35,3550308,2021,3,Março
Segunda,22/03/2021,Fábrica PC RM Itajaí + Papelada (Ranan),Ranan,Trabalhado,FS6000,2,0,120,0,0,0,0,0,0,Carapicuíba,SP,0,1,0,35,3510609,2021,3,Março
Terça,23/03/2021,Ida VCP - PMW (correios Palmas) Paulinelli,Paulinele,Trabalhado,,1,0,260,1483,0,0,0,0,1,Palmas,TO,0,0,0,17,1721000,2021,3,Março
Quarta,24/03/2021,C0115 Correios Palmas (Paulinelli),Paulinele,Trabalhado,CX100100TI,0,1,15,0,0,1,0,0,1,Palmas,TO,0,0,0,17,1721000,2021,3,Março
Quinta,25/03/2021,volta PMW - GRU + Mala testes Fábrica + Correios Leopoldina,Paulinele,Trabalhado,CX100100D,3,0,150,1475,0,0,0,0,1,Palmas,TO,0,0,0,17,1721000,2021,3,Março
Sexta,26/03/2021,Correios Leopoldina,Paulinele,Trabalhado,CX100100D,1,0,100,0,0,0,0,0,0,São Paulo,SP,0,0,0,35,3550308,2021,3,Março
Sábado,27/03/2021,Folga,0,Folga,,0,0,0,0,0,0,0,0,0,São Paulo,SP,0,0,0,35,3550308,2021,3,Março
Domingo,28/03/2021,Folga trabalhada - FS Santos Alemoa,Ranan,Trabalhado,FS6000,0,1,180,0,0,1,0,0,0,Santos,SP,1,0,0,35,3548500,2021,3,Março
Segunda,29/03/2021,Feriado antecipado Lockdown,0,Folga,,0,0,0,0,0,0,0,0,0,São Paulo,SP,0,0,0,35,3550308,2021,3,Março
Terça,30/03/2021,Feriado antecipado Lockdown + Correios Leopoldina,Paulinele,Trabalhado,CX100100D,0,1,100,0,0,1,0,0,0,São Paulo,SP,0,0,0,35,3550308,2021,3,Março
Quarta,31/03/2021,Feriado antecipado Lockdown + ETD GRU remota,Bruno,Trabalhado,TR2000DC,0,1,100,0,0,1,0,0,0,São Paulo,SP,0,0,0,35,3550308,2021,3,Março
Quinta,01/04/2021,Correios Leopoldina,Paulinele,Trabalhado,CX100100D,1,0,100,0,0,0,0,0,0,São Paulo,SP,0,0,0,35,3550308,2021,4,Abril
Sexta,02/04/2021,Sexta Santa,0,Feriado,,0,0,0,0,0,0,0,0,0,São Paulo,SP,0,0,0,35,3550308,2021,4,Abril
Sábado,03/04/2021,Folga,0,Folga,,0,0,0,0,0,0,0,0,0,São Paulo,SP,0,0,0,35,3550308,2021,4,Abril
Domingo,04/04/2021,Folga,0,Folga,,0,0,0,0,0,0,0,0,0,São Paulo,SP,0,0,0,35,3550308,2021,4,Abril
Segunda,05/04/2021,,0,Sem atividade,,0,0,0,0,0,0,0,0,0,São Paulo,SP,0,0,0,35,3550308,2021,4,Abril
Terça,06/04/2021,Dosímetro + material testes na Fábrica,Paulinele,Trabalhado,,2,0,120,0,0,0,0,0,0,Carapicuíba,SP,0,1,0,35,3510609,2021,4,Abril
Quarta,07/04/2021,Correios Leopoldina,Paulinele,Trabalhado,CX100100D,1,0,100,0,0,0,0,0,0,São Paulo,SP,0,0,0,35,3550308,2021,4,Abril
Quinta,08/04/2021,Correios Leopoldina + Material testes fábrica + retirada de TR1000QC para Salvador,Paulinele,Trabalhado,CX100100D,3,0,120,0,0,0,0,0,0,Carapicuíba,SP,0,0,0,35,3510609,2021,4,Abril
Sexta,09/04/2021,Ida CHG - SSA + instalação TR1000QC,Diego,Trabalhado,TR1000QC,1,1,80,1481,0,0,1,0,1,Salvador,BA,0,0,0,29,2927408,2021,4,Abril
Sábado,10/04/2021,Volta SSA - GRU,Diego,Trabalhado,,1,0,80,1475,0,0,0,0,1,Salvador,BA,0,0,0,29,2927408,2021,4,Abril
Domingo,11/04/2021,Folga,0,Folga,,0,0,0,0,0,0,0,0,0,São Paulo,SP,0,0,0,35,3550308,2021,4,Abril
Segunda,12/04/2021,,0,Sem atividade,,0,0,0,0,0,0,0,0,0,São Paulo,SP,0,0,0,35,3550308,2021,4,Abril
Terça,13/04/2021,Papelada,Bruno,Trabalhado,,1,0,0,0,0,0,0,0,0,São Paulo,SP,0,1,0,35,3550308,2021,4,Abril
Quarta,14/04/2021,Fábrica peças FS + ida GRU - CWB + Obra Paranaguá,Ranan,Trabalhado,FS6000,3,0,250,359,0,0,1,0,1,Paranaguá,PR,0,0,0,41,4118204,2021,4,Abril
Quinta,15/04/2021,Obra Paranaguá,Ranan,Trabalhado,FS6000,1,0,10,0,0,0,1,0,1,Paranaguá,PR,0,0,0,41,4118204,2021,4,Abril
Sexta,16/04/2021,Obra Paranaguá,Ranan,Trabalhado,FS6000,1,0,10,0,0,0,1,0,1,Paranaguá,PR,0,0,0,41,4118204,2021,4,Abril
Sábado,17/04/2021,Obra Paranaguá,Ranan,Trabalhado,FS6000,1,0,10,0,0,0,1,0,1,Paranaguá,PR,0,0,0,41,4118204,2021,4,Abril
Domingo,18/04/2021,Obra Paranaguá,Ranan,Trabalhado,FS6000,1,0,10,0,0,0,1,0,1,Paranaguá,PR,0,0,0,41,4118204,2021,4,Abril
Segunda,19/04/2021,Obra Paranaguá,Ranan,Trabalhado,FS6000,1,0,10,0,0,0,1,0,1,Paranaguá,PR,0,0,0,41,4118204,2021,4,Abril
Terça,20/04/2021,Obra Paranaguá,Ranan,Trabalhado,FS6000,1,0,10,0,0,0,1,0,1,Paranaguá,PR,0,0,0,41,4118204,2021,4,Abril
Quarta,21/04/2021,Feriado Tiradentes + Obra Paranaguá,Ranan,Trabalhado,FS6000,1,0,10,0,0,0,1,0,1,Paranaguá,PR,1,0,0,41,4118204,2021,4,Abril
Quinta,22/04/2021,Obra Paranaguá,Ranan,Trabalhado,FS6000,1,0,10,0,0,0,1,0,1,Paranaguá,PR,0,0,0,41,4118204,2021,4,Abril
Sexta,23/04/2021,Folga Plantão + Volta CWB - GRU,Ranan,Trabalhado,,1,0,140,359,0,0,0,0,1,Paranaguá,PR,1,0,0,41,4118204,2021,4,Abril
Sábado,24/04/2021,Plantão,Plantão,Trabalhado,,1,0,0,0,0,0,0,0,0,São Paulo,SP,0,0,1,35,3550308,2021,4,Abril
Domingo,25/04/2021,Plantão + Atendimento FS Alemoa,Ranan,Trabalhado,FS6000,0,1,180,0,0,1,0,0,0,Santos,SP,0,0,1,35,3548500,2021,4,Abril
Segunda,26/04/2021,Papelada Escritório + Preventiva Mongaguá SAP,Diego,Trabalhado,HT2000GA,1,1,260,0,0,1,0,0,0,Mongaguá,SP,0,1,0,35,3531100,2021,4,Abril
Terça,27/04/2021,remota GRU 100100D,Bruno,Trabalhado,CX100100D,0,1,0,0,0,1,0,0,0,São Paulo,SP,0,0,0,35,3550308,2021,4,Abril
Quarta,28/04/2021,,0,Sem atividade,,0,0,0,0,0,0,0,0,0,São Paulo,SP,0,0,0,35,3550308,2021,4,Abril
Quinta,29/04/2021,,0,Sem atividade,,0,0,0,0,0,0,0,0,0,São Paulo,SP,0,0,0,35,3550308,2021,4,Abril
Sexta,30/04/2021,Corretiva Casa Itaquá,Diego,Trabalhado,HT2000GA,0,1,40,0,0,1,0,0,0,Itaquaquecetuba,SP,0,0,0,35,3523107,2021,4,Abril
Sábado,01/05/2021,Dia do Trabalho,0,Feriado,,0,0,0,0,0,0,0,0,0,São Paulo,SP,0,0,0,35,3550308,2021,5,Maio
Domingo,02/05/2021,Folga,0,Folga,,0,0,0,0,0,0,0,0,0,São Paulo,SP,0,0,0,35,3550308,2021,5,Maio
Segunda,03/05/2021,,0,Sem Atividade,,0,0,0,0,0,0,0,0,0,São Paulo,SP,0,0,0,35,3550308,2021,5,Maio
Terça,04/05/2021,,0,Sem Atividade,,0,0,0,0,0,0,0,0,0,São Paulo,SP,0,0,0,35,3550308,2021,5,Maio
Quarta,05/05/2021,agendamento preventiva Safra,Diego,Trabalhado,TR2000DC,1,0,0,0,0,0,0,0,0,São Paulo,SP,0,0,0,35,3550308,2021,5,Maio
Quinta,06/05/2021,Preventiva Safra + remota FS alemoa,Diego,Trabalhado,TR2000DC,1,1,62,0,1,1,0,0,0,São Paulo,SP,0,0,0,35,3550308,2021,5,Maio
Sexta,07/05/2021,,0,Sem Atividade,,0,0,0,0,0,0,0,0,0,São Paulo,SP,0,0,0,35,3550308,2021,5,Maio
Sábado,08/05/2021,Folga,0,Folga,,0,0,0,0,0,0,0,0,0,São Paulo,SP,0,0,0,35,3550308,2021,5,Maio
Domingo,09/05/2021,Folga,0,Folga,,0,0,0,0,0,0,0,0,0,São Paulo,SP,0,0,0,35,3550308,2021,5,Maio
Segunda,10/05/2021,Apoio Sérgio remoto,Bruno,Trabalhado,,1,0,0,0,0,0,0,0,0,São Paulo,SP,0,0,0,35,3550308,2021,5,Maio
Terça,11/05/2021,,0,Sem Atividade,,0,0,0,0,0,0,0,0,0,São Paulo,SP,0,0,0,35,3550308,2021,5,Maio
Quarta,12/05/2021,Correios Leopoldina + fábrica,Diego,Trabalhado,CX100100D,2,0,120,0,0,0,0,1,0,Carapicuíba,SP,0,0,0,35,3510609,2021,5,Maio
Quinta,13/05/2021,Correios Leopoldina + fábrica,Diego,Trabalhado,CX100100D,2,0,120,0,0,0,0,1,0,Carapicuíba,SP,0,0,0,35,3510609,2021,5,Maio
Sexta,14/05/2021,Correios Leopoldina + fábrica,Diego,Trabalhado,CX100100D,2,0,120,0,0,0,0,1,0,Carapicuíba,SP,0,0,0,35,3510609,2021,5,Maio
Sábado,15/05/2021,Folga,0,Folga,,0,0,0,0,0,0,0,0,0,São Paulo,SP,0,0,0,35,3550308,2021,5,Maio
Domingo,16/05/2021,Folga,0,Folga,,0,0,0,0,0,0,0,0,0,São Paulo,SP,0,0,0,35,3550308,2021,5,Maio
Segunda,17/05/2021,Correios Leopoldina,Diego,Trabalhado,CX100100D,1,0,100,0,0,0,0,1,0,São Paulo,SP,0,0,0,35,3550308,2021,5,Maio
Terça,18/05/2021,Correios Leopoldina + fábrica,Diego,Trabalhado,CX100100D,2,0,120,0,0,0,0,1,0,Carapicuíba,SP,0,0,0,35,3510609,2021,5,Maio
Quarta,19/05/2021,Correios Leopoldina,Diego,Trabalhado,CX100100D,0,6,100,0,0,0,0,1,0,São Paulo,SP,0,0,0,35,3550308,2021,5,Maio
Quinta,20/05/2021,Ida GRU - NAT,Diego,Trabalhado,,1,0,70,2300,0,0,0,0,1,Natal,RN,0,0,0,24,2408102,2021,5,Maio
Sexta,21/05/2021,Instalação Correios Natal,Diego,Trabalhado,CX100100D,0,1,30,0,0,0,1,0,1,Natal,RN,0,0,0,24,2408102,2021,5,Maio
Sábado,22/05/2021,Folga,0,Folga,,0,0,0,0,0,0,0,0,1,Natal,RN,0,0,0,24,2408102,2021,5,Maio
Domingo,23/05/2021,Folga,0,Folga,,0,0,0,0,0,0,0,0,1,Natal,RN,0,0,0,24,2408102,2021,5,Maio
Segunda,24/05/2021,Treinamento Operacional Correios Natal,Diego,Trabalhado,CX100100D,1,0,30,0,0,0,0,1,1,Natal,RN,0,0,0,24,2408102,2021,5,Maio
Terça,25/05/2021,Treinamento Manutenção Correios Natal,Diego,Trabalhado,CX100100D,1,0,30,0,0,0,0,1,1,Natal,RN,0,0,0,24,2408102,2021,5,Maio
Quarta,26/05/2021,Treinamento Manutenção Correios Natal,Diego,Trabalhado,CX100100D,1,0,30,0,0,0,0,1,1,Natal,RN,0,0,0,24,2408102,2021,5,Maio
Quinta,27/05/2021,Treinamento Manutenção Correios Natal,Diego,Trabalhado,CX100100D,1,0,30,0,0,0,0,1,1,Natal,RN,0,0,0,24,2408102,2021,5,Maio
Sexta,28/05/2021,Folga Plantão + Treinamento Manutenção Correios Natal,Diego,Trabalhado,CX100100D,1,0,30,0,0,0,0,1,1,Natal,RN,1,0,0,24,2408102,2021,5,Maio
Sábado,29/05/2021,Plantão + Volta NAT - VCP,Plantão,Trabalhado,,2,0,280,2322,0,0,0,0,1,Natal,RN,0,0,1,24,2408102,2021,5,Maio
Domingo,30/05/2021,Plantão,Plantão,Trabalhado,,1,0,0,0,0,0,0,0,0,São Paulo,SP,0,0,1,35,3550308,2021,5,Maio
Segunda,31/05/2021,,0,Sem Atividade,,0,0,0,0,0,0,0,0,0,São Paulo,SP,0,0,0,35,3550308,2021,5,Maio
Terça,01/06/2021,CDP Taubaté,Paulinele,Trabalhado,HT2000GA,0,1,350,0,0,1,0,0,0,Taubaté,SP,0,0,0,35,3554102,2021,6,Junho
Quarta,02/06/2021,Devolução de no break de CDP Taubaté na fábrica + papelada escritório,Paulinele,Trabalhado,,2,0,120,0,0,0,0,0,0,Carapicuíba,SP,0,1,0,35,3510609,2021,6,Junho
